title,description,authors,publisher,published_date,categories,ratings_count
Study Guide,"Test your trading knowledge and skills—without risking any money You may read the best trading book, but how much of that knowledge will you retain a week later? This is why you need this Study Guide for The New Trading for a Living. It'll give you a firmer grasp of the essential trading rules and skills. This Study Guide, based on the bestselling trading book of all time, was created by its author to help you master the key points of his classic book. The Study Guide's 170 multiple-choice quest",Alexander Elder,John Wiley & Sons,2014-10-13,Business & Economics,0
The Hammond-Harwood House cook book,,"Wilson Hope Nelson Andrews, Mrs. J. Reaney Kelly",,1963,Cookbooks,0
Sunday Telegraph Book of Nonograms,,"Non Ishida, James Dalgety",Pan Books Limited,1995-05-01,Games,0
The desert fathers,"The desert fathers wanted to get away from a church co-opted by empire and a Christian faith grown cold and listless. They retreated to the desert to do battle against demons and against their own worst desires. They had no intention of being famous; yet ironically their Sayings have inspired millions of imitators over the centuries. This guide is meant to accompany a reading of the Sayings of the Desert Fathers, in hopes that readers with lives quite different than those third- and fourth-centu",Jason Byassee,Wipf and Stock Publishers,2007-08-15,Religion,0
Ode to the Chinaberry Tree and Other Poems,,James Applewhite,,1986-01-01,,0
"Heroes of civilization,",,Joseph Cottler,,1945,,0
The east in the light of the west: The children of Lucifer and the brothers of Christ,"‘A wonderfully beautiful legend tells us that when Lucifer fell from heaven to earth a precious stone fell from his crown… This precious stone is in a certain respect nothing else than the full power of the “I”.’ Seven years after staging Edward Schuré’s drama The Children of Lucifer, Rudolf Steiner felt able to talk openly about the complex relationship between the beings of Lucifer and Christ. In an extraordinary series of lectures, Steiner addresses the difficult and often misunderstood subje",Rudolf Steiner,Rudolf Steiner Press,2017-10-23,Anthroposophy,0
BIRDS BEASTS AND RELATIVES.,"The follow up to My Family and Other Animals and the second book in The Corfu Trilogy, the beloved books that inspired ITV's television series The Durrells. Just before the Second World War the Durrell family decamped to the glorious, sun-soaked island of Corfu where the youngest of the four children, ten-year-old Gerald, discovered his passion for animals: toads and tortoises, bats and butterflies, scorpions and octopuses. Through glorious silver-green olive groves and across brilliant-white be",Gerald Durrell,Viking,2017-04-06,,21.0
Health Risks of Weight Loss,This practical guide brings together research on the health effects of dieting and rapid weight loss.,Francie M. Berg,Healthy Living Inst,1995,Health & Fitness,0
Artificial Intelligence,"No recent scientific enterprise has been so alluring, terrifying, and filled with extravagant promise and frustrating setbacks as artificial intelligence. How intelligent are the best of today's AI programs? To what extent can we entrust them with decisions that affect our lives? How human-like do we expect them to become, and how soon do we need to worry about them surpassing us in most, if not all, human endeavours? From leading AI researcher and award-winning author Melanie Mitchell comes a k",Melanie Mitchell,Pelican,2020-09-24,,1.0
"Salem Possessed, The Social Origins of Witchcraft","Tormented girls writhing in agony, stern judges meting out harsh verdicts, nineteen bodies swinging on Gallows Hill. The stark immediacy of what happened in 1692 has obscured the complex web of human passion which climaxed in the Salem witch trials From rich and varied sources—many neglected and unknown—Paul Boyer and Stephen Nissenbaum give us a picture of the people and events more intricate and more fascinating than any other in the massive literature. It is a story of powerful and deeply div",Paul Boyer,Harvard University Press,1976-01-01,History,4.0
The act of touch in all its diversity;: An analysis and synthesis of pianoforte tone-production,,Tobias Matthay,,1945,Piano,0
Psalms Now,"What would the psalm writers say if they lived in modern times? What words would they use to express their prayers? ""Psalms Now"" captures the meaning of the psalms for today.",Leslie F. Brandt,,1986,Religion,7.0
Dream Working Handbook,"This whimsical yet effective book shows precisely how to analyze your dreams and use insights into them to improve all aspects of your life. It is vastly different from and superior to traditional dream interpretation books because it does not rely on lists of universal archetypes or symbols, but rather teaches you to retain, understand and capitalize on the knowledge gleaned from your dreamlife.With it in hand, you will learn to remember your dreams, keep a dream journal, compile a personal dre","Helen McLean, Abiye Cole",Carlton Books Limited,2001-02,Self-Help,0
The God of the Gospel of John,"Jean Vanier is the founder of l'Arche and co-founder of Faith and Light, both communities for people with disabilities. In this book, he shares with the reader the message of the Gospel of John, finding his meaning in the readings and teachings.",Jean Vanier,Paulist Press,2004,Religion,2.0
The Diamond Hunters (Eagle Large Print),"Johnny Lance and Benedict van der Byl, almost brothers, have come to the crossroads of their lifetime rivalry. Far beneath the African earth waits a fabulous cache of mineral wealth that can enrich Johnny beyond his wildest dreams -- or destroy him utterly. And years of hate that have festered in Benedict's soul are about to tip the balance . . .",Wilbur Smith,John Curley & Assoc,1991-01-01,Fiction,3.0
Chicka Chicka ABC Magnet Book,"More than a decade after its debut, this ABC story is now available with 26 colorful letter magnets packaged in a resealable pouch. The abridged book is spiral bound and features an easelback stand, movable magnetic panel, and two extra spreads for vertical magnet word play. Full-color illustrations. Consumable.","Bill Martin, Jr., John Archambault",Turtleback,2002-08-01,,0
Ben Holladay: The Stagecoach King,"The red and black Concord stagecoaches that crossed the West in the 1860s, known to the Indians as ""fire boxes,"" have been celebrated in Mark Twain's fiction and JohnøFord's films. Predating the transcontinental railroads, they provided vital lines of communication to the East during the Civil War and opened to development the newly settled regions beyond the Missouri River. From 1862 to 1866 Ben Holladay owned and operated a network of stagecoach lines from Kansas to California, the main one fo",J. V. Frederick,U of Nebraska Press,1989-04-01,Biography & Autobiography,0
Surrendered,"A New York Times bestseller, this controversial guide to improving your marriage has transformed thousands of relationships, bringing women romance, harmony, and the intimacy they crave. Like millions of women, Laura Doyle wanted her marriage to be better. But when she tried to get her husband to be more romantic, helpful, and ambitious, he withdrew—and she was lonely and exhausted from controlling everything. Desperate to be in love with her man again, she decided to stop telling him what to do",Laura Doyle,Simon and Schuster,2001-02-28,Family & Relationships,5.0
Sweet Hush: A Novel,"Her Harvard-student son just eloped with the First Daughter. CNN is parked on the road to her apple orchards. Secret Service agents have commandeered her country kitchen. The irate First Parents are threatening to have her taxes audited. The President's handsome, tough, ex-military nephew is setting up camp in her guest room. Hush McGillan's quiet Appalachian world of heirloom apples, country festivals, and carefully guarded family secrets has just been flipped like one of her famous Sweet Hush ",Deborah Smith,BelleBooks,2008-06-15,Fiction,4.0
An Introduction to Statistical Thermodynamics,"Four-part treatment covers principles of quantum statistical mechanics, systems composed of independent molecules or other independent subsystems, and systems of interacting molecules, concluding with a consideration of quantum statistics.",Terrell L. Hill,Courier Corporation,2012-06-08,Science,0
Face of a Stranger (William Monk),"""Richly textured with the sights and sounds of London and its countryside...Solidly absorbing and Perry's best to date."" THE KIRKUS REVIEWS His name, they tell him, is William Monk, and he is a London police detecive. But the accident that felled him has left him with only half a life; his memory and his entire past have vanished. As he tries to hide the truth, Monk returns to work and is assigned to investigate the brutal murder of a Crimean War hero and man about town. Which makes Monk's effor",Anne Perry,Fawcett,1998-06-13,"Monk, William (Fictitious character)",20.0
